SEASON,player_key,PLAYER_NAME_BREF,TEAM_ABBREVIATION,MP,G,BREF_PER,BREF_OWS,BREF_DWS,BREF_WS,BREF_WS_PER_48,BREF_OBPM,BREF_DBPM,BREF_BPM,BREF_VORP
2010,a.j. price,A.J. Price,IND,865.0,56.0,14.0,0.4,0.8,1.2,0.065,-0.1,-0.4,-0.5,0.3
2010,aaron brooks,Aaron Brooks,HOU,2919.0,82.0,16.0,3.9,1.6,5.5,0.091,2.3,-1.6,0.7,1.9
2010,aaron gray,Aaron Gray,2TM,311.0,32.0,16.6,0.5,0.4,0.9,0.142,-1.1,-0.2,-1.3,0.1
2010,acie law,Acie Law,3TM,234.0,26.0,16.0,0.3,0.2,0.6,0.115,-0.6,-0.4,-1.0,0.1
2010,adam morrison,Adam Morrison,LAL,241.0,31.0,7.4,-0.2,0.2,0.0,0.009,-3.6,-1.1,-4.7,-0.2
2010,al harrington,Al Harrington,NYK,2195.0,72.0,16.8,2.2,1.3,3.5,0.077,0.8,-1.6,-0.8,0.6
2010,al horford,Al Horford,ATL,2845.0,81.0,19.4,6.9,3.9,10.9,0.183,1.8,0.5,2.3,3.1
2010,al jefferson,Al Jefferson,MIN,2463.0,76.0,19.0,2.3,2.3,4.6,0.09,0.7,-0.4,0.4,1.5
2010,al thornton,Al Thornton,2TM,2079.0,75.0,11.8,1.2,1.0,2.2,0.05,-2.1,-1.0,-3.1,-0.6
2010,alando tucker,Alando Tucker,2TM,96.0,15.0,13.4,0.1,0.0,0.1,0.061,-0.1,-3.9,-4.0,0.0
2010,alexis ajinca,Alexis Ajinça,CHA,30.0,6.0,6.3,-0.1,0.0,0.0,-0.013,-6.3,1.0,-5.3,0.0
2010,allen iverson,Allen Iverson,2TM,865.0,28.0,13.4,0.5,0.2,0.7,0.037,-1.0,-1.9,-3.0,-0.2
2010,alonzo gee,Alonzo Gee,WAS,182.0,11.0,16.2,0.3,0.1,0.4,0.108,1.7,-0.1,1.6,0.2
2010,amar'e stoudemire,Amar'e Stoudemire,PHO,2838.0,82.0,22.6,8.2,2.5,10.7,0.181,2.1,-1.1,1.0,2.2
2010,amir johnson,Amir Johnson,TOR,1453.0,82.0,16.7,3.4,1.1,4.5,0.15,-0.6,0.0,-0.6,0.5
2010,anderson varejao,Anderson Varejão,CLE,2166.0,76.0,15.8,4.3,3.8,8.1,0.179,0.1,1.2,1.3,1.8
2010,andray blatche,Andray Blatche,WAS,2256.0,81.0,17.6,0.8,2.6,3.4,0.073,0.2,0.4,0.6,1.5
2010,andre iguodala,Andre Iguodala,PHI,3193.0,82.0,17.8,4.0,2.8,6.7,0.101,2.0,0.4,2.4,3.5
2010,andre miller,Andre Miller,POR,2500.0,82.0,18.1,4.6,2.4,7.0,0.134,1.8,0.0,1.8,2.4
2010,andrea bargnani,Andrea Bargnani,TOR,2799.0,80.0,15.5,3.3,0.9,4.2,0.072,0.9,-1.7,-0.8,0.9
2010,andrei kirilenko,Andrei Kirilenko,UTA,1681.0,58.0,18.2,3.3,2.7,6.0,0.171,2.7,2.4,5.1,3.0
2010,andrew bogut,Andrew Bogut,MIL,2229.0,69.0,20.7,2.6,4.8,7.5,0.161,0.8,2.2,3.1,2.8
2010,andrew bynum,Andrew Bynum,LAL,1977.0,65.0,20.2,4.4,3.4,7.8,0.188,1.1,0.4,1.5,1.8
2010,andris biedrins,Andris Biedriņš,GSW,763.0,33.0,13.0,0.7,0.9,1.6,0.101,-1.9,1.7,-0.2,0.4
2010,andres nocioni,Andrés Nocioni,SAC,1477.0,75.0,11.1,0.4,1.0,1.3,0.044,-1.3,-1.1,-2.4,-0.1
2010,antawn jamison,Antawn Jamison,2TM,2406.0,66.0,17.3,3.0,2.8,5.8,0.115,1.1,-0.9,0.2,1.3
2010,anthony carter,Anthony Carter,DEN,859.0,54.0,10.3,0.1,0.8,0.9,0.051,-1.7,0.9,-0.8,0.3
2010,anthony johnson,Anthony Johnson,ORL,406.0,31.0,12.4,0.5,0.5,1.0,0.116,-0.7,0.7,0.0,0.2
2010,anthony morrow,Anthony Morrow,GSW,2018.0,69.0,14.0,3.0,0.6,3.5,0.084,1.2,-1.5,-0.4,0.8
2010,anthony parker,Anthony Parker,CLE,2289.0,81.0,9.9,2.3,2.6,4.9,0.103,-1.0,0.7,-0.3,1.0
2010,anthony randolph,Anthony Randolph,GSW,749.0,33.0,18.7,0.7,0.8,1.5,0.098,-0.2,-0.3,-0.6,0.3
2010,anthony tolliver,Anthony Tolliver,2TM,1427.0,46.0,13.6,1.7,0.8,2.5,0.084,-0.3,-1.3,-1.6,0.1
2010,antoine wright,Antoine Wright,TOR,1392.0,67.0,8.6,0.1,0.2,0.3,0.011,-1.9,-1.4,-3.3,-0.4
2010,antonio anderson,Antonio Anderson,OKC,15.0,1.0,-1.7,0.0,0.0,0.0,-0.104,-7.6,-4.8,-12.4,0.0
2010,antonio mcdyess,Antonio McDyess,SAS,1617.0,77.0,12.2,0.6,2.6,3.2,0.094,-1.8,0.8,-1.0,0.4
2010,arron afflalo,Arron Afflalo,DEN,2221.0,82.0,10.9,2.8,1.4,4.3,0.092,-0.2,-0.2,-0.4,0.9
2010,austin daye,Austin Daye,DET,915.0,69.0,12.8,0.6,0.7,1.3,0.067,-1.7,-0.1,-1.8,0.1
2010,baron davis,Baron Davis,LAC,2523.0,75.0,17.4,2.5,2.1,4.5,0.086,1.5,0.0,1.5,2.2
2010,ben gordon,Ben Gordon,DET,1730.0,62.0,14.0,1.8,0.4,2.1,0.059,0.3,-1.8,-1.4,0.2
2010,ben wallace,Ben Wallace,DET,1975.0,69.0,15.8,2.4,2.3,4.7,0.115,0.7,1.2,1.9,1.9
2010,beno udrih,Beno Udrih,SAC,2477.0,79.0,15.7,4.2,1.3,5.5,0.107,0.7,-0.2,0.4,1.5
2010,bobby brown,Bobby Brown,2TM,519.0,45.0,9.3,-0.7,0.2,-0.5,-0.05,-2.7,-2.6,-5.3,-0.4
2010,bobby simmons,Bobby Simmons,NJN,395.0,23.0,8.0,-0.2,0.3,0.1,0.014,-3.6,0.0,-3.6,-0.2
2010,boris diaw,Boris Diaw,CHA,2906.0,82.0,12.8,2.4,3.8,6.2,0.103,-0.1,0.9,0.8,2.0
2010,brad miller,Brad Miller,CHI,1950.0,82.0,12.9,1.5,2.5,4.0,0.098,-1.4,0.5,-0.8,0.6
2010,brandon bass,Brandon Bass,ORL,648.0,50.0,16.5,1.0,1.0,2.0,0.147,-0.7,0.1,-0.6,0.2
2010,brandon jennings,Brandon Jennings,MIL,2671.0,82.0,14.5,0.3,3.9,4.2,0.075,0.5,0.2,0.7,1.8
2010,brandon roy,Brandon Roy,POR,2419.0,65.0,21.3,7.0,2.1,9.1,0.18,4.7,0.0,4.7,4.1
